기업번호,발간연도,국가,작성기준,전체쪽수,보고서제목,검증여부,검증형태,비교연도,정보공시1,정보공시2
1,3,1,2,99,1,1,2,3,21,4
2,1,1,1,120,1,1,2,3,20,15
3,3,1,2,118,1,1,2,3,18,9
4,1,1,1,88,1,1,2,1,20,10
5,2,1,1,104,1,1,2,1,14,13
6,3,1,3,91,1,1,2,1,12,10
7,3,1,2,117,1,1,2,3,15,6
8,3,1,2,80,1,1,2,3,11,10
9,1,1,1,116,1,1,2,3,20,13
10,2,1,1,110,1,1,2,3,17,13
11,1,1,1,84,1,1,2,3,15,11
12,2,1,1,98,1,1,2,3,18,10
13,1,1,1,80,1,1,2,3,20,7
14,2,1,1,86,1,1,2,3,19,7
15,1,1,1,106,1,1,2,2,23,12
16,2,1,2,112,1,1,2,3,12,4
17,3,1,2,137,1,1,2,3,13,1
18,1,1,1,144,1,0,0,3,11,4
19,1,1,1,96,1,1,2,0,12,8
20,2,1,2,96,1,1,2,1,8,3
21,3,1,2,102,4,1,2,1,8,6
22,2,1,2,87,2,1,2,3,19,12
23,3,1,2,88,2,1,2,3,23,18
24,2,1,2,84,2,1,2,3,12,8
25,3,1,2,74,2,1,2,3,11,7
26,1,1,1,132,4,1,2,3,17,16
27,2,1,2,106,4,1,2,3,13,11
28,3,1,2,134,4,1,2,3,23,16
29,3,1,2,105,4,1,2,3,12,6
30,1,1,1,83,1,1,2,3,19,15
31,2,1,2,52,1,1,2,3,8,8
32,3,1,2,46,1,1,2,3,9,7
33,3,1,2,88,4,1,2,3,26,17
34,1,1,1,100,1,1,2,3,17,14
35,2,1,1,92,1,1,2,3,24,12
36,3,1,2,90,1,1,2,3,22,11
37,3,1,1,87,1,1,2,3,21,15
38,1,1,1,84,2,1,2,4,16,7
39,2,1,2,88,2,1,2,4,15,11
40,2,1,1,85,1,1,2,3,16,8
41,1,1,1,91,1,1,2,3,24,14
42,2,1,1,92,1,1,2,3,21,10
43,3,1,2,87,1,1,2,3,21,11
44,3,1,2,80,1,1,2,3,12,8
45,3,1,2,116,4,1,2,3,12,8
46,1,1,1,103,1,1,2,3,9,8
47,2,1,2,126,1,1,2,3,16,4
48,3,1,2,124,1,1,2,3,21,13
49,1,1,1,98,1,1,2,3,22,12
50,2,1,1,92,1,1,2,3,14,11
51,3,1,2,80,1,1,2,3,24,17
52,1,1,1,84,1,1,2,3,10,8
53,1,1,1,87,1,1,2,3,20,12
54,3,1,2,70,1,1,2,3,9,3
55,1,1,1,104,1,1,2,3,14,11
56,2,1,2,87,1,1,2,2,11,8
57,1,1,1,73,1,1,2,3,18,6
58,3,1,2,60,1,1,2,3,17,9
59,3,1,2,83,1,1,2,3,11,7
60,1,1,1,88,1,1,2,3,21,17
61,3,1,2,87,1,1,2,4,17,12
62,2,1,2,100,1,1,2,3,26,17
63,1,1,1,100,1,1,2,3,28,13
64,3,1,2,102,1,1,2,3,29,10
65,2,1,2,73,1,1,2,3,19,10
66,1,1,1,74,1,1,2,3,21,18
67,2,1,1,78,1,1,2,3,19,19
68,3,1,2,86,1,1,2,3,12,10
69,3,1,2,95,1,1,2,3,16,7
70,1,1,1,76,1,1,2,3,23,17
71,3,1,2,47,1,1,2,3,13,13
72,3,1,2,88,1,1,2,3,17,15
73,3,1,2,88,1,1,2,3,17,10
74,2,1,2,114,4,1,2,3,15,14
75,1,1,1,92,1,1,2,3,23,9
76,3,1,2,115,4,1,2,3,13,11
77,1,1,1,86,1,1,2,3,25,15
78,2,1,2,90,1,1,2,3,12,11
79,3,1,2,113,1,1,2,3,14,7
80,1,1,1,70,1,1,2,3,13,15
81,2,1,1,81,1,1,2,3,15,17
82,1,1,1,92,1,1,2,4,13,15
83,2,1,2,84,1,1,2,3,19,13
84,3,1,2,87,1,1,2,3,22,14
85,1,1,1,114,1,1,2,3,18,16
86,2,1,2,83,1,1,2,3,13,7
87,3,1,2,84,1,1,2,3,11,6
88,1,1,1,94,1,1,2,1,31,18
89,2,1,2,97,1,1,2,3,22,14
90,3,1,2,102,1,1,2,3,27,16
91,1,1,1,76,1,1,2,3,16,14
92,2,1,1,84,1,1,2,3,19,14
93,3,1,2,76,1,1,2,3,18,10
94,2,1,1,82,2,1,2,3,23,12
95,2,1,1,88,1,1,2,3,18,10
96,3,1,2,72,1,1,2,2,15,16
97,2,1,1,60,1,1,2,3,17,7
98,1,1,1,81,1,1,2,3,20,14
99,2,1,1,93,1,1,2,3,17,12
100,1,1,1,74,1,1,2,3,16,17
101,1,1,1,71,1,1,2,3,17,11
102,3,1,2,104,1,1,2,1,12,4
103,1,1,1,100,1,1,2,3,9,8
104,2,1,2,96,1,1,2,3,11,2
105,1,1,1,92,1,1,2,3,22,17
106,3,1,2,92,1,1,1,2,15,14
107,1,1,1,60,1,1,2,3,20,12
108,2,1,2,75,1,1,1,4,19,7
109,3,1,2,90,1,1,2,4,12,12
110,2,1,1,101,1,1,2,3,21,7
111,1,1,1,84,1,1,2,3,18,11
112,1,1,1,95,1,1,2,2,21,17
113,2,1,2,85,1,1,2,3,11,7
114,3,1,2,84,1,1,2,3,6,8
115,2,1,2,116,1,1,2,3,19,14
116,2,1,2,70,1,1,2,3,21,19
117,1,1,1,76,1,1,2,3,14,7
118,2,1,1,90,1,1,2,3,13,4
119,1,1,1,104,1,1,2,0,20,16
120,2,1,2,73,1,1,2,3,8,3
121,3,1,2,72,1,1,2,3,14,12
122,1,1,1,95,1,1,2,3,15,18
123,2,1,2,113,1,1,2,3,27,16
124,3,1,2,158,1,1,1,2,25,16
125,1,1,1,100,1,1,2,3,30,18
126,3,1,2,86,1,1,2,3,18,14
127,1,1,1,66,1,1,2,3,20,14
128,2,1,2,48,1,1,2,1,19,16
129,3,1,2,76,1,1,2,1,26,20
130,2,1,2,75,1,1,2,3,17,14
131,3,1,2,93,1,1,2,3,17,9
132,1,1,1,93,4,1,2,3,24,12
133,3,1,2,85,4,1,2,3,18,8
134,1,1,1,72,1,1,2,1,15,15
135,2,1,1,71,1,1,2,1,20,17
136,3,1,2,83,1,1,2,1,23,20
137,1,1,1,77,1,1,2,3,21,11
138,2,1,1,65,5,1,2,3,21,15
139,3,1,2,71,5,1,2,3,19,6
140,3,1,2,112,2,1,2,3,24,11
141,1,1,1,88,1,1,2,3,21,15
142,2,1,2,92,1,1,2,1,17,12
143,3,1,2,96,1,1,2,3,22,10
144,1,1,1,99,5,1,2,3,28,17
145,3,1,2,94,5,1,2,3,24,23
146,1,1,1,88,1,1,2,3,20,18
147,1,1,1,64,4,1,2,1,23,17
148,2,1,2,208,5,1,2,1,22,12
149,3,1,2,160,5,1,2,1,24,14
150,1,1,2,68,1,1,2,3,4,9
151,2,1,2,71,1,1,2,3,6,11
152,3,1,2,83,1,1,2,3,6,8
153,1,1,1,50,5,1,2,3,26,14
154,2,1,1,79,1,1,2,3,24,11
155,3,1,2,89,5,1,2,3,26,13
156,4,1,2,110,1,1,2,3,12,4
157,4,1,2,123,1,1,2,2,16,14
158,4,1,2,75,1,1,2,3,8,10
159,4,1,2,131,1,1,2,3,19,16
