번호,사용브랜드,사용기간,구매장소,구매가격,정보획득,구입조언,하루사용시간,브랜드이미지,가격만족도,재구매의향,구매중요도1_메모리,구매중요도2_배터리,구매중요도3_카메라,구매중요도4_처리속도,구매중요도5_보안기능,구매중요도6_운영체계,구매중요도7_디자인,구매중요도8_음질,구매중요도9_A/S,구매중요도10_명성 ,성별,연령,연령2,학력,직업,월수입,결혼,가족수
181,1,3,1,15,1,2,1,2,4,3,2,2,4,2,4,3,4,4,4,3,0,4,2,2,4,2,2,3
94,1,3,3,20,4,3,3,4,3,3,4,3,5,4,4,2,5,4,4,5,1,3,2,4,4,4,2,3
12,1,2,1,25,1,1,1,3,2,2,2,2,4,2,5,3,4,5,4,4,0,4,2,4,7,4,2,1
156,1,5,3,26,4,3,1,4,4,5,2,2,1,2,5,2,1,2,4,4,0,6,3,2,2,5,3,1
19,1,3,5,30,6,2,3,2,2,3,4,3,4,4,5,4,4,4,3,3,0,2,1,4,9,2,1,3
195,1,1,4,30,6,2,2,2,2,2,4,3,3,4,2,3,5,4,2,1,1,1,1,2,1,2,1,3
182,1,5,2,40,1,2,2,5,4,5,1,2,1,1,5,2,1,2,4,3,0,5,3,8,3,5,2,1
188,1,5,4,40,6,2,2,1,2,2,4,3,3,4,2,4,4,3,2,2,0,1,1,3,1,1,1,2
237,1,4,4,40,6,2,5,3,2,2,3,4,3,3,2,2,4,2,3,2,0,2,1,3,8,1,1,1
222,1,5,3,40,2,3,2,4,2,3,5,4,3,2,2,2,5,4,2,2,1,2,1,4,4,3,1,1
208,1,2,4,40,6,2,1,2,2,1,3,2,5,2,2,2,5,5,3,3,1,2,1,3,8,1,1,1
27,1,2,5,45,5,2,3,3,3,2,2,2,4,2,5,3,4,4,4,4,0,4,2,4,5,2,2,2
175,1,4,4,50,1,5,5,2,2,3,1,2,1,1,5,2,1,2,4,3,0,5,3,8,3,3,2,2
84,1,3,3,50,6,5,1,3,4,3,2,2,1,1,5,2,1,1,4,3,0,5,3,2,4,2,2,3
223,1,3,4,50,6,3,2,2,2,3,4,3,3,4,5,4,3,2,4,5,1,3,2,4,4,3,1,1
176,1,3,4,50,1,1,2,3,1,2,5,4,3,5,2,4,4,1,2,1,0,3,2,7,3,3,2,3
214,1,1,1,50,5,1,2,1,3,2,3,2,3,2,4,3,4,2,3,3,0,3,2,4,4,4,2,2
83,1,3,4,50,6,2,1,3,2,3,3,4,3,1,4,3,4,2,4,5,0,4,2,2,4,2,2,3
130,1,2,4,50,1,2,4,1,3,2,2,2,3,2,4,1,4,3,5,5,0,4,2,4,4,3,2,2
217,1,3,1,50,1,3,4,4,3,3,2,2,3,3,4,1,4,3,5,5,0,4,2,4,4,6,2,3
62,1,3,2,50,6,2,4,3,2,4,3,1,3,3,5,5,5,5,3,3,1,2,1,4,4,6,1,1
246,1,2,5,50,6,1,4,3,3,3,4,3,5,4,4,4,5,5,3,3,1,2,1,4,6,1,1,2
210,1,5,3,60,2,4,4,4,4,5,2,2,1,1,5,2,2,3,4,3,0,5,3,6,2,6,2,3
170,1,3,1,60,6,2,4,2,2,3,4,3,3,2,2,4,4,2,2,2,1,2,1,3,8,1,1,4
57,1,1,1,60,3,2,5,3,3,2,2,3,4,3,4,1,4,4,4,4,0,4,2,4,4,4,2,2
152,1,3,2,60,6,1,1,4,3,3,5,4,4,2,4,5,4,4,4,4,0,3,2,4,4,3,1,4
245,1,5,4,60,2,3,4,2,2,3,2,2,4,1,4,1,4,3,5,5,0,4,2,7,8,1,2,2
227,1,4,3,69,6,5,3,1,1,2,1,2,1,1,5,2,2,3,5,5,1,5,3,4,1,3,2,3
145,1,4,3,70,1,5,3,4,4,5,1,2,1,1,5,2,2,3,5,5,1,5,3,4,2,6,2,2
158,1,1,4,70,5,2,5,2,2,1,4,4,3,4,5,3,3,3,5,5,0,2,1,6,3,3,1,3
73,1,3,4,70,6,2,2,2,3,3,4,3,4,2,2,4,4,4,3,1,1,3,2,4,6,4,1,2
66,1,1,2,70,5,3,2,3,1,2,4,4,4,4,3,4,4,4,3,3,0,3,2,4,3,3,2,3
186,1,5,4,70,1,1,2,3,2,3,5,5,4,5,3,5,4,4,4,5,1,3,2,7,4,6,2,3
67,1,3,2,70,6,3,3,3,3,3,5,4,4,5,4,5,4,4,4,5,1,3,2,4,4,5,2,3
48,1,3,4,70,6,4,2,4,4,5,1,2,2,1,4,2,4,3,5,5,1,5,3,4,4,4,2,3
178,1,2,2,70,1,2,1,2,2,2,2,2,4,2,4,1,4,3,5,5,0,4,2,6,3,3,2,2
1,1,2,5,70,5,2,2,3,1,3,5,4,5,3,2,5,5,5,2,1,1,1,1,2,8,3,1,1
56,1,5,1,70,1,2,1,5,3,3,5,4,5,4,3,5,5,5,2,2,0,3,2,8,3,6,2,2
247,1,2,1,70,6,1,5,3,2,3,4,3,4,3,2,4,5,5,3,1,0,2,1,6,10,1,2,1
200,1,1,5,70,6,1,3,3,1,2,5,4,5,2,5,5,5,5,3,3,1,1,1,2,1,1,1,5
120,1,2,5,70,3,2,4,2,2,1,4,4,4,4,5,4,5,4,4,4,0,3,2,2,4,4,2,3
108,1,5,2,70,1,2,1,1,2,1,4,3,5,3,5,4,5,5,5,5,1,2,1,4,4,6,2,2
2,1,4,1,72,4,1,2,4,3,4,5,4,4,5,5,5,4,2,3,3,1,2,1,3,8,4,1,2
86,1,1,4,75,6,1,1,2,3,2,5,4,3,3,4,5,3,3,4,5,0,2,1,4,4,5,2,2
31,1,3,4,75,6,2,1,2,1,1,5,4,4,5,5,5,4,4,4,4,1,3,2,4,4,6,2,3
150,1,5,4,75,6,2,2,4,1,3,4,4,5,4,2,3,5,4,2,2,1,2,1,4,2,6,1,1
190,1,3,4,80,6,2,1,4,5,5,2,1,3,2,4,2,1,1,4,3,0,5,3,2,4,3,2,3
144,1,4,1,80,2,4,5,3,3,4,2,1,1,2,4,2,2,3,4,3,1,5,3,8,2,6,2,3
119,1,1,5,80,2,1,3,2,5,1,4,3,3,3,4,5,3,4,4,5,0,2,1,4,5,5,2,3
162,1,1,5,80,6,3,1,3,3,2,5,5,5,5,3,5,3,3,4,4,1,3,2,7,4,3,2,2
148,1,5,4,80,6,1,3,3,2,2,5,3,5,3,3,5,4,4,2,2,1,2,1,4,4,4,2,3
172,1,5,2,80,6,1,3,3,3,4,5,5,5,5,3,4,4,4,2,3,1,2,1,4,2,4,2,3
202,1,2,2,80,4,1,3,2,2,2,5,4,4,3,3,5,4,4,3,3,1,2,1,4,6,6,2,3
